"Martin, George R.R.","A Game of Thrones",1996,0-553-10354-7
"Banks, Iain M.","Consider Phlebas",1987,0-333-45430-8
"Hofstadter, Douglas","Gödel, Escher, Bach: An Eternal Golden Braid",1979,978-0-465-02656-2
